// Measurement of the battery capacity of devices for 30 minutes in real time:
Configuration(XORShift,3,Battery)
Device 1: hour: 11.613958055555555, value: 71.35239028857377
Device 2: hour: 11.613963611111112, value: 72.39792143423062
Device 3: hour: 11.613969166666667, value: 97.46353775553021
Device 1: hour: 11.697305277777778, value: 69.69556608614408
Device 2: hour: 11.697320555555555, value: 70.58904072923796
Device 3: hour: 11.697330555555556, value: 95.95361755624263
Device 1: hour: 11.780666111111112, value: 68.14071154702471
Device 2: hour: 11.7806725, value: 68.80602640898573
Device 3: hour: 11.780691666666666, value: 94.18789303924139
Device 1: hour: 11.864018055555556, value: 66.36307839673549
Device 2: hour: 11.86402111111111, value: 67.04770853778993
Device 3: hour: 11.864037222222223, value: 92.25080561049998
Device 2: hour: 11.94736, value: 65.34005293223078
Device 1: hour: 11.947360277777777, value: 64.51578883594269
Device 3: hour: 11.947398055555556, value: 90.68573007760236
Device 2: hour: 12.030705, value: 63.55460819440304
Device 1: hour: 12.030721388888889, value: 62.524492806062206
Device 3: hour: 12.03075, value: 88.7655308789726
Device 2: hour: 12.114061944444444, value: 61.99810889072208
Device 1: hour: 12.11408138888889, value: 60.7362182648471
Device 3: hour: 12.114106666666666, value: 87.19380989256169
Device 2: hour: 12.1974, value: 60.263309154837245
Device 1: hour: 12.197442777777777, value: 59.23297669208444
Device 3: hour: 12.197462222222223, value: 85.49289874639194
Device 2: hour: 12.28075638888889, value: 58.5290706871378
Device 1: hour: 12.280793611111111, value: 57.70323835900128
Device 3: hour: 12.28081888888889, value: 83.5797550833271
